date,memory_usage_in_kB
2022-05-15 12:19:01+02:00, 1027764
2022-05-15 12:20:01+02:00, 1027776
2022-05-15 12:21:01+02:00, 1028544
2022-05-15 12:22:01+02:00, 1030736
2022-05-15 12:23:01+02:00, 1032808
2022-05-15 12:24:01+02:00, 1034848
2022-05-15 12:25:01+02:00, 1036828
2022-05-15 12:26:01+02:00, 1039252
2022-05-15 12:27:01+02:00, 1041272
2022-05-15 12:28:01+02:00, 1044968
2022-05-15 12:29:01+02:00, 1045888
2022-05-15 12:30:01+02:00, 1048164
2022-05-15 12:31:01+02:00, 1050240
2022-05-15 12:32:01+02:00, 1052416
2022-05-15 12:33:01+02:00, 1054264
2022-05-15 12:34:01+02:00, 1056456
2022-05-15 12:35:01+02:00, 1058816
2022-05-15 12:36:01+02:00, 1060740
2022-05-15 12:37:01+02:00, 1063288
2022-05-15 12:38:01+02:00, 1065248
2022-05-15 12:39:01+02:00, 1067368
2022-05-15 12:40:01+02:00, 1069480
2022-05-15 12:41:01+02:00, 1071600
2022-05-15 12:42:01+02:00, 1073896
2022-05-15 12:43:01+02:00, 1075776
2022-05-15 12:44:01+02:00, 1078196
2022-05-15 12:45:01+02:00, 1080376
2022-05-15 12:46:01+02:00, 1082832
2022-05-15 12:47:01+02:00, 1085764
2022-05-15 12:48:01+02:00, 1088000
2022-05-15 12:49:01+02:00, 1091192
2022-05-15 12:50:01+02:00, 1092964
2022-05-15 12:51:01+02:00, 1095892
2022-05-15 12:52:01+02:00, 1098412
2022-05-15 12:53:01+02:00, 1100896
2022-05-15 12:54:01+02:00, 1102872
2022-05-15 12:55:01+02:00, 1105700
2022-05-15 12:56:01+02:00, 1108164
2022-05-15 12:57:01+02:00, 1110284
2022-05-15 12:58:01+02:00, 1112960
2022-05-15 12:59:01+02:00, 1115904
2022-05-15 13:00:01+02:00, 1118220
2022-05-15 13:01:01+02:00, 1120824
2022-05-15 13:02:01+02:00, 1123524
2022-05-15 13:03:01+02:00, 1125860
2022-05-15 13:04:01+02:00, 1128356
2022-05-15 13:05:01+02:00, 1131104
2022-05-15 13:06:01+02:00, 1134096
2022-05-15 13:07:01+02:00, 1136072
2022-05-15 13:08:01+02:00, 1138680
2022-05-15 13:09:01+02:00, 1143364
2022-05-15 13:10:01+02:00, 1143956
2022-05-15 13:11:01+02:00, 1146020
2022-05-15 13:12:01+02:00, 1148652
2022-05-15 13:13:01+02:00, 1151020
2022-05-15 13:14:01+02:00, 1153620
2022-05-15 13:15:01+02:00, 1157780
2022-05-15 13:16:01+02:00, 1158840
2022-05-15 13:17:01+02:00, 1161088
2022-05-15 13:18:01+02:00, 1163516
2022-05-15 13:19:01+02:00, 1165856
2022-05-15 13:20:01+02:00, 1168760
2022-05-15 13:21:01+02:00, 1170764
2022-05-15 13:22:01+02:00, 1173324
2022-05-15 13:23:01+02:00, 1174060
2022-05-15 13:24:01+02:00, 1174080
2022-05-15 13:25:01+02:00, 1174100
2022-05-15 13:26:01+02:00, 1213456
2022-05-15 13:27:01+02:00, 1213428
2022-05-15 13:28:01+02:00, 1213448
2022-05-15 13:29:01+02:00, 1213568
2022-05-15 13:30:01+02:00, 1213640
2022-05-15 13:31:01+02:00, 1213876
2022-05-15 13:32:01+02:00, 1213952
2022-05-15 13:33:01+02:00, 1214064
2022-05-15 13:34:01+02:00, 1214060
2022-05-15 13:35:01+02:00, 1214188
2022-05-15 13:36:01+02:00, 1214180
2022-05-15 13:37:01+02:00, 1214244
2022-05-15 13:38:01+02:00, 1214888
2022-05-15 13:39:01+02:00, 1217256
2022-05-15 13:40:01+02:00, 1219220
2022-05-15 13:41:01+02:00, 1221196
2022-05-15 13:42:01+02:00, 1223424
2022-05-15 13:43:01+02:00, 1225500
2022-05-15 13:44:01+02:00, 1227760
2022-05-15 13:45:01+02:00, 1229948
2022-05-15 13:46:01+02:00, 1232048
2022-05-15 13:47:01+02:00, 1234076
2022-05-15 13:48:01+02:00, 1236376
2022-05-15 13:49:01+02:00, 1238488
2022-05-15 13:50:01+02:00, 1240792
2022-05-15 13:51:01+02:00, 1242980
2022-05-15 13:52:01+02:00, 1244828
2022-05-15 13:53:01+02:00, 1247276
2022-05-15 13:54:01+02:00, 1249440
2022-05-15 13:55:01+02:00, 1251608
2022-05-15 13:56:01+02:00, 1253672
2022-05-15 13:57:01+02:00, 1255928
2022-05-15 13:58:01+02:00, 1257852
2022-05-15 13:59:01+02:00, 1260256
2022-05-15 14:00:01+02:00, 1262252
2022-05-15 14:01:01+02:00, 1264368
2022-05-15 14:02:01+02:00, 1266656
2022-05-15 14:03:01+02:00, 1268728
2022-05-15 14:04:01+02:00, 1270964
2022-05-15 14:05:01+02:00, 1273568
2022-05-15 14:06:01+02:00, 1275976
2022-05-15 14:07:01+02:00, 1278636
2022-05-15 14:08:01+02:00, 1281044
2022-05-15 14:09:01+02:00, 1285800
2022-05-15 14:10:01+02:00, 1286576
2022-05-15 14:11:01+02:00, 1288852
2022-05-15 14:12:01+02:00, 1291552
2022-05-15 14:13:01+02:00, 1293856
2022-05-15 14:14:02+02:00, 1296896
2022-05-15 14:15:01+02:00, 1298692
2022-05-15 14:16:01+02:00, 1301388
2022-05-15 14:17:01+02:00, 1303824
2022-05-15 14:18:01+02:00, 1306476
2022-05-15 14:19:01+02:00, 1309144
2022-05-15 14:20:01+02:00, 1311636
2022-05-15 14:21:01+02:00, 1314068
2022-05-15 14:22:01+02:00, 1316476
2022-05-15 14:23:01+02:00, 1318952
2022-05-15 14:24:01+02:00, 1321576
2022-05-15 14:25:01+02:00, 1323956
2022-05-15 14:26:01+02:00, 1326392
2022-05-15 14:27:01+02:00, 1329120
2022-05-15 14:28:01+02:00, 1331608
2022-05-15 14:29:01+02:00, 1334256
2022-05-15 14:30:01+02:00, 1336600
2022-05-15 14:31:01+02:00, 1339368
2022-05-15 14:32:01+02:00, 1341780
2022-05-15 14:33:01+02:00, 1344236
2022-05-15 14:34:01+02:00, 1346808
2022-05-15 14:35:01+02:00, 1349052
2022-05-15 14:36:01+02:00, 1351660
2022-05-15 14:37:01+02:00, 1354048
2022-05-15 14:38:01+02:00, 1356648
2022-05-15 14:39:01+02:00, 1359472
2022-05-15 14:40:01+02:00, 1364344
2022-05-15 14:41:01+02:00, 1364668
2022-05-15 14:42:01+02:00, 1367216
2022-05-15 14:43:01+02:00, 1369504
2022-05-15 14:44:01+02:00, 1372008
2022-05-15 14:45:01+02:00, 1374288
2022-05-15 14:46:01+02:00, 1377804
2022-05-15 14:47:01+02:00, 1379372
2022-05-15 14:48:01+02:00, 1381668
2022-05-15 14:49:01+02:00, 1384376
2022-05-15 14:50:01+02:00, 1386956
2022-05-15 14:51:01+02:00, 1389448
2022-05-15 14:52:01+02:00, 1391936
2022-05-15 14:53:01+02:00, 1394564
2022-05-15 14:54:01+02:00, 1396992
2022-05-15 14:55:01+02:00, 1399476
2022-05-15 14:56:01+02:00, 1402040
2022-05-15 14:57:01+02:00, 1404632
2022-05-15 14:58:01+02:00, 1409512
2022-05-15 14:59:01+02:00, 1409332
2022-05-15 15:00:01+02:00, 1409348
2022-05-15 15:01:01+02:00, 1409356
2022-05-15 15:02:01+02:00, 1409296
2022-05-15 15:03:01+02:00, 1409320
2022-05-15 15:04:01+02:00, 1409324
2022-05-15 15:05:01+02:00, 1409336
2022-05-15 15:06:01+02:00, 1409356
2022-05-15 15:07:01+02:00, 1409312
2022-05-15 15:08:01+02:00, 1409324
2022-05-15 15:09:01+02:00, 1409332
2022-05-15 15:10:01+02:00, 1409356
2022-05-15 15:11:01+02:00, 1409304
2022-05-15 15:12:01+02:00, 1409316
2022-05-15 15:13:01+02:00, 1409332
2022-05-15 15:14:01+02:00, 1409352
2022-05-15 15:15:01+02:00, 1409368
2022-05-15 15:16:01+02:00, 1409312
2022-05-15 15:17:01+02:00, 1409292
2022-05-15 15:18:01+02:00, 1409312
2022-05-15 15:19:01+02:00, 1409324
2022-05-15 15:20:01+02:00, 1409332
2022-05-15 15:21:01+02:00, 1409292
2022-05-15 15:22:01+02:00, 1409316
2022-05-15 15:23:01+02:00, 1409332
2022-05-15 15:24:01+02:00, 1409348
2022-05-15 15:25:01+02:00, 1409300
2022-05-15 15:26:01+02:00, 1409312
2022-05-15 15:27:01+02:00, 1409324
2022-05-15 15:28:01+02:00, 1409336
2022-05-15 15:29:01+02:00, 1409356
2022-05-15 15:30:01+02:00, 1409304
2022-05-15 15:31:01+02:00, 1409328
2022-05-15 15:32:01+02:00, 1409340
2022-05-15 15:33:01+02:00, 1409360
2022-05-15 15:34:01+02:00, 1409364
2022-05-15 15:35:01+02:00, 1409308
2022-05-15 15:36:01+02:00, 1409324
2022-05-15 15:37:01+02:00, 1409336
2022-05-15 15:38:01+02:00, 1409352
2022-05-15 15:39:01+02:00, 1409364
2022-05-15 15:40:01+02:00, 1409316
2022-05-15 15:41:01+02:00, 1409328
2022-05-15 15:42:01+02:00, 1409336
2022-05-15 15:43:01+02:00, 1409356
2022-05-15 15:44:02+02:00, 1409316
2022-05-15 15:45:01+02:00, 1409328
2022-05-15 15:46:01+02:00, 1409344
2022-05-15 15:47:01+02:00, 1409356
2022-05-15 15:48:01+02:00, 1409320
2022-05-15 15:49:01+02:00, 1409332
2022-05-15 15:50:01+02:00, 1409340
2022-05-15 15:51:01+02:00, 1409352
2022-05-15 15:52:01+02:00, 1409364
2022-05-15 15:53:01+02:00, 1409316
2022-05-15 15:54:01+02:00, 1409324
2022-05-15 15:55:01+02:00, 1446304
2022-05-15 15:56:01+02:00, 1445932
2022-05-15 15:57:01+02:00, 1446196
2022-05-15 15:58:01+02:00, 1446172
2022-05-15 15:59:01+02:00, 1446016
2022-05-15 16:00:01+02:00, 1446336
2022-05-15 16:01:01+02:00, 1446352
2022-05-15 16:02:01+02:00, 1446428
2022-05-15 16:03:01+02:00, 1446264
2022-05-15 16:04:01+02:00, 1446560
2022-05-15 16:05:01+02:00, 1446644
